Date,Time,Value[mNAP],State of value
1984-03-26,00:00:00,---,255
1984-03-27,00:00:00,---,255
1984-03-28,00:00:00,---,255
1984-03-29,00:00:00,---,255
1984-03-30,00:00:00,---,255
1984-03-31,00:00:00,---,255
1984-04-01,00:00:00,---,255
1984-04-02,00:00:00,---,255
1984-04-03,00:00:00,---,255
1984-04-04,00:00:00,---,255
1984-04-05,00:00:00,---,255
1984-04-06,00:00:00,---,255
1984-04-07,00:00:00,---,255
1984-04-08,00:00:00,---,255
1984-04-09,00:00:00,---,255
1984-04-10,00:00:00,---,255
1984-04-11,00:00:00,---,255
1984-04-12,00:00:00,---,255
1984-04-13,00:00:00,---,255
1984-04-14,00:00:00,---,255
1984-04-15,00:00:00,---,255
1984-04-16,00:00:00,---,255
1984-04-17,00:00:00,---,255
1984-04-18,00:00:00,---,255
1984-04-19,00:00:00,---,255
1984-04-20,00:00:00,---,255
1984-04-21,00:00:00,---,255
1984-04-22,00:00:00,---,255
1984-04-23,00:00:00,---,255
1984-04-24,00:00:00,---,255
1984-04-25,00:00:00,---,255
1984-04-26,00:00:00,---,40
1984-04-27,00:00:00,---,40
1984-04-28,00:00:00,---,40
1984-04-29,00:00:00,---,255
1984-04-30,00:00:00,---,40
1984-05-01,00:00:00,---,40
1984-05-02,00:00:00,---,40
1984-05-03,00:00:00,---,40
1984-05-04,00:00:00,---,40
1984-05-05,00:00:00,---,40
1984-05-06,00:00:00,---,40
1984-05-07,00:00:00,---,40
1984-05-08,00:00:00,---,255
1984-05-09,00:00:00,---,255
1984-05-10,00:00:00,---,255
1984-05-11,00:00:00,---,255
1984-05-12,00:00:00,---,255
1984-05-13,00:00:00,---,255
1984-05-14,00:00:00,---,40
1984-05-15,00:00:00,---,40
1984-05-16,00:00:00,---,40
1984-05-17,00:00:00,---,40
1984-05-18,00:00:00,---,40
1984-05-19,00:00:00,---,40
1984-05-20,00:00:00,---,255
1984-05-21,00:00:00,---,40
1984-05-22,00:00:00,---,255
1984-05-23,00:00:00,---,255
1984-05-24,00:00:00,---,255
